funil,dia,horario,texto
free,1,manha,"☀️ *BOM DIA! Aula 1 de 3 — Vocaboost*

Hoje você já sai falando como nativo. 3 jeitos de dizer ""tudo bem?"" que a escola não te ensinou:

• *How's it going?* → ""como vão as coisas?""
• *What's up?* → ""e aí?""
• *How have you been?* → ""como você tem estado?""

🎯 *Tarefa de 5 min:* escolha UMA e use hoje (ou responda aqui no grupo).

👉 Amanhã: o erro nº 1 que trava todo brasileiro no inglês. *Não silencie o grupo.*"
free,1,tarde,"💬 E aí, fez a tarefa?

Responde aqui embaixo, em inglês: *como você está hoje?*
(pode errar — é errando que destrava 😉)"
free,1,noite,"🌙 Antes de dormir, uma pergunta:

Você ENTENDE inglês mas trava na hora de falar?

Amanhã eu te mostro por que isso acontece — e o método que faz a frase sair ""no automático"". A Aula 2 chega cedinho. 👀"
free,2,manha,"☀️ *Aula 2 de 3 — Por que você trava (e a solução)*

O problema não é falta de vocabulário. É que você aprende *palavra solta*. Nativo aprende em *blocos prontos* (chunks):

❌ ""I want... to... go..."" (montando peça por peça)
✅ *""I'm gonna...""* (bloco pronto, sai automático)

3 blocos pra usar HOJE:
• *I'm gonna...* (eu vou...)
• *Do you wanna...?* (você quer...?)
• *I have to...* (eu tenho que...)

Isso é *método*, não sorte. No Vocaboost você treina blocos novos todo dia até virarem automáticos.

👉 Amanhã: como fazer isso no piloto automático, mesmo sem tempo."
free,2,tarde,"📊 Me ajuda a personalizar as próximas aulas. Qual seu MAIOR travão hoje?

Responde com a letra:
*A)* Vocabulário (faltam palavras)
*B)* Escuta (não entendo quando falam rápido)
*C)* Medo de falar / vergonha de errar"
free,2,noite,"🌙 Muita gente respondeu *C* (medo de falar) — e isso tem solução.

Amanhã, na Aula 3, eu te mostro a técnica pra destravar a fala em casa, sozinho, em 20 min/dia. É a aula que mais se aproxima de como o Vocaboost funciona por dentro. Não perde. 🔥"
free,3,manha,"☀️ *Aula 3 de 3 — Destrave a fala em 20 min/dia*

A técnica chama *shadowing*: ouça uma frase curta e repita em voz alta IMITANDO o áudio (ritmo e entonação).

Faça hoje:
1. Pegue 1 frase de uma série/música.
2. Repita 5x junto com o áudio.
3. Grave você falando e compare.

Em 2 semanas seu cérebro começa a ""pensar"" em inglês.

⚠️ O pulo do gato: fazer isso *todo dia, com o material certo e correção*. Sozinho dá pra começar — com um plano diário + professor, você avança 3x mais rápido. É o que o Vocaboost faz por você.

👉 Amanhã é dia de *resultados* — e tenho um *aviso importante* pra esse grupo. Fica de olho cedinho."
free,3,noite,"🌙 Spoiler do aviso de amanhã:

Quem está nesse grupo vai ter uma *condição exclusiva* pra entrar no Vocaboost — que não existe em nenhum outro lugar. Mas por *tempo limitado*. Amanhã explico tudo. 👀"
free,4,manha,"☀️ *Dia de resultados — recap das 3 aulas*

Em 3 dias você aprendeu:
✅ Aula 1 — saudações como nativo
✅ Aula 2 — o método dos *blocos prontos* (chunks)
✅ Aula 3 — *shadowing* pra destravar a fala

Se SÓ isso já ajudou... imagina uma aula nova dessas *todo dia*, com áudios, correção e um professor do seu lado.

Fica no grupo: hoje à noite vem o *aviso* que você esperava. 🔔"
free,4,tarde,"💬 Olha o que quem já está no Vocaboost Premium tá falando:

⭐ ""Em 3 semanas comecei a entender série sem legenda."" — Ana
⭐ ""Perdi o medo de falar nas reuniões."" — Rodrigo
⭐ ""20 min/dia que cabem na minha rotina."" — Júlia

(troque por seus prints/áudios reais de alunos)"
free,4,noite,"🔔 *É AMANHÃ.*

Por *48 horas*, quem está nesse grupo entra no *Vocaboost Premium* por um preço que NÃO vai se repetir:

De ~{from}~ por *{to}*.

Aula nova todo dia + áudios + professor pra corrigir e tirar dúvidas.

Amanhã cedo eu abro o link. Deixa o grupo no topo. 🚀"
